feature,importance
hr_pct_of_max,0.7386961179438304
breathing_rate,0.09484612754673638
training_history_terlatih,0.058915514123214996
sleep_hours_last_night,0.03990420642597423
rpe_self_report,0.017221093166546155
speed_decline_pct,0.012255062872527131
duration_in_high_zone_min,0.011756280795425232
training_history_rutin,0.00391664413266578
training_history_pemula,0.003881753651657808
hr_current,0.0031243505936463974
height_cm,0.003074396083333287
hr_rest,0.002930290681417756
weight_kg,0.0025586811426680117
bmi,0.002494559502232161
age,0.0020979548664243866
hr_max,0.0018154739454352721
gender_male,0.00026211503159873377
gender_female,0.000249377494665695
